Model,Brand,Release_date,Max_resolution,Low_resolution,Effective_pixels,Zoom_wide,Zoom_tele,Normal_focus_range,Macro_focus_range,Storage_included,Weight_incbatteries,Dimensions,Price
Agfa ePhoto 1280,Agfa,1997,1024.0,640.0,0.0,38.0,114.0,70.0,40.0,4.0,420.0,95.0,179.0
Agfa ePhoto 1680,Agfa,1998,1280.0,640.0,1.0,38.0,114.0,50.0,0.0,4.0,420.0,158.0,179.0
Agfa ePhoto CL18,Agfa,2000,640.0,0.0,0.0,45.0,45.0,0.0,0.0,2.0,0.0,0.0,179.0
Agfa ePhoto CL30,Agfa,1999,1152.0,640.0,0.0,35.0,35.0,0.0,0.0,4.0,0.0,0.0,269.0
Agfa ePhoto CL30 Clik!,Agfa,1999,1152.0,640.0,0.0,43.0,43.0,50.0,0.0,40.0,300.0,128.0,1299.0
Agfa ePhoto CL45,Agfa,2001,1600.0,640.0,1.0,51.0,51.0,50.0,20.0,8.0,270.0,119.0,179.0
Agfa ePhoto CL50,Agfa,1999,1280.0,640.0,1.0,34.0,102.0,0.0,0.0,8.0,0.0,0.0,179.0
Canon PowerShot 350,Canon,1997,640.0,0.0,0.0,42.0,42.0,70.0,3.0,2.0,320.0,93.0,149.0
Canon PowerShot 600,Canon,1996,832.0,640.0,0.0,50.0,50.0,40.0,10.0,1.0,460.0,160.0,139.0
Canon PowerShot A10,Canon,2001,1280.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,375.0,110.0,139.0
Canon PowerShot A100,Canon,2002,1280.0,1024.0,1.0,39.0,39.0,20.0,5.0,8.0,225.0,110.0,139.0
Canon PowerShot A20,Canon,2001,1600.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,375.0,110.0,139.0
Canon PowerShot A200,Canon,2002,1600.0,1024.0,1.0,39.0,39.0,20.0,5.0,8.0,225.0,110.0,139.0
Canon PowerShot A30,Canon,2002,1280.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,350.0,110.0,139.0
Canon PowerShot A300,Canon,2003,2048.0,1600.0,3.0,33.0,33.0,20.0,5.0,32.0,225.0,111.0,139.0
Canon PowerShot A310,Canon,2004,2048.0,1600.0,3.0,33.0,33.0,0.0,5.0,0.0,205.0,110.0,139.0
Canon PowerShot A40,Canon,2002,1600.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,350.0,110.0,139.0
Canon PowerShot A400,Canon,2004,2048.0,1600.0,3.0,45.0,100.0,0.0,5.0,16.0,255.0,107.0,139.0
Canon PowerShot A410,Canon,2005,2048.0,1600.0,3.0,41.0,131.0,0.0,1.0,16.0,195.0,103.0,139.0
Canon PowerShot A420,Canon,2006,2272.0,1600.0,4.0,39.0,125.0,47.0,1.0,16.0,200.0,103.0,139.0
Canon PowerShot A430,Canon,2006,2272.0,1600.0,4.0,39.0,156.0,47.0,1.0,16.0,210.0,103.0,139.0
Canon PowerShot A450,Canon,2007,2592.0,2048.0,5.0,38.0,122.0,47.0,1.0,16.0,215.0,106.0,139.0
Canon PowerShot A460,Canon,2007,2592.0,2048.0,5.0,38.0,152.0,47.0,1.0,16.0,215.0,106.0,139.0
Canon PowerShot A5,Canon,1998,1024.0,512.0,0.0,35.0,35.0,50.0,9.0,8.0,240.0,105.0,149.0
Canon PowerShot A50,Canon,1999,1280.0,640.0,1.0,28.0,70.0,50.0,17.0,8.0,290.0,103.0,149.0
Canon PowerShot A510,Canon,2005,2048.0,1600.0,3.0,35.0,140.0,0.0,5.0,16.0,230.0,91.0,139.0
Canon PowerShot A520,Canon,2005,2272.0,1600.0,3.0,35.0,140.0,0.0,5.0,16.0,230.0,91.0,149.0
Canon PowerShot A530,Canon,2006,2592.0,2048.0,5.0,35.0,140.0,45.0,5.0,16.0,220.0,90.0,149.0
Canon PowerShot A540,Canon,2006,2816.0,2272.0,6.0,35.0,140.0,45.0,5.0,16.0,230.0,90.0,149.0
Canon PowerShot A550,Canon,2007,3072.0,2592.0,7.0,35.0,140.0,45.0,5.0,16.0,210.0,91.0,149.0
Canon PowerShot A560,Canon,2007,3072.0,2592.0,7.0,35.0,140.0,45.0,5.0,16.0,205.0,91.0,149.0
Canon PowerShot A570 IS,Canon,2007,3072.0,2592.0,7.0,35.0,140.0,45.0,5.0,16.0,215.0,90.0,149.0
Canon PowerShot A5 Zoom,Canon,1999,1024.0,512.0,0.0,28.0,70.0,50.0,17.0,8.0,290.0,103.0,149.0
Canon PowerShot A60,Canon,2003,1600.0,1024.0,1.0,35.0,105.0,46.0,5.0,16.0,315.0,101.0,139.0
Canon PowerShot A610,Canon,2005,2592.0,2592.0,5.0,35.0,140.0,0.0,1.0,16.0,285.0,105.0,139.0
Canon PowerShot A620,Canon,2005,3072.0,3072.0,7.0,35.0,140.0,0.0,1.0,32.0,285.0,105.0,139.0
Canon PowerShot A630,Canon,2006,3264.0,2592.0,8.0,35.0,140.0,0.0,1.0,16.0,315.0,109.0,139.0
Canon PowerShot A640,Canon,2006,3648.0,2816.0,10.0,35.0,140.0,0.0,1.0,32.0,315.0,109.0,139.0
Canon PowerShot A650 IS,Canon,2007,4000.0,3264.0,12.0,35.0,210.0,0.0,1.0,32.0,300.0,97.0,399.0
Canon PowerShot A70,Canon,2003,2048.0,1600.0,3.0,35.0,105.0,46.0,5.0,16.0,315.0,101.0,139.0
Canon PowerShot A700,Canon,2006,2816.0,2272.0,6.0,35.0,210.0,55.0,1.0,16.0,250.0,94.0,139.0
Canon PowerShot A710 IS,Canon,2006,3072.0,2592.0,7.0,35.0,210.0,55.0,1.0,16.0,210.0,98.0,139.0
Canon PowerShot A720 IS,Canon,2007,3264.0,2592.0,8.0,35.0,210.0,55.0,1.0,16.0,250.0,97.0,399.0
Canon PowerShot A75,Canon,2004,2048.0,1600.0,3.0,35.0,105.0,46.0,5.0,32.0,315.0,101.0,139.0
Canon PowerShot A80,Canon,2003,2272.0,1600.0,3.0,38.0,114.0,46.0,5.0,32.0,350.0,103.0,139.0
Canon PowerShot A85,Canon,2004,2272.0,1600.0,4.0,35.0,105.0,0.0,5.0,32.0,300.0,101.0,139.0
Canon PowerShot A95,Canon,2004,2592.0,2048.0,5.0,38.0,114.0,45.0,5.0,32.0,335.0,101.0,139.0
Canon EOS 10D,Canon,2003,3072.0,2048.0,6.0,0.0,0.0,0.0,0.0,0.0,875.0,150.0,1299.0
Canon EOS-1D,Canon,2001,2464.0,1232.0,4.0,0.0,0.0,0.0,0.0,0.0,1585.0,156.0,4499.0
Canon EOS-1D Mark II,Canon,2004,3504.0,3104.0,8.0,0.0,0.0,0.0,0.0,0.0,1565.0,156.0,4499.0
Canon EOS-1D Mark III,Canon,2007,3888.0,3456.0,10.0,0.0,0.0,0.0,0.0,0.0,1335.0,156.0,4499.0
Canon EOS-1D Mark II N,Canon,2005,3504.0,3104.0,8.0,0.0,0.0,0.0,0.0,0.0,1565.0,156.0,4499.0
Canon EOS-1Ds,Canon,2002,4064.0,2032.0,11.0,0.0,0.0,0.0,0.0,0.0,1585.0,156.0,7999.0
Canon EOS-1Ds Mark II,Canon,2004,4992.0,3600.0,16.0,0.0,0.0,0.0,0.0,0.0,1565.0,156.0,7999.0
Canon EOS-1Ds Mark III,Canon,2007,5616.0,4992.0,21.0,0.0,0.0,0.0,0.0,0.0,1385.0,150.0,7999.0
Canon EOS 20D,Canon,2004,3504.0,2544.0,8.0,0.0,0.0,0.0,0.0,0.0,770.0,144.0,1299.0
Canon EOS 20Da,Canon,2005,3504.0,2544.0,8.0,0.0,0.0,0.0,0.0,0.0,770.0,144.0,1299.0
Canon EOS 300D / Digital Rebel,Canon,2003,3072.0,2048.0,6.0,0.0,0.0,0.0,0.0,0.0,645.0,142.0,1299.0
Canon EOS 30D,Canon,2006,3504.0,2544.0,8.0,0.0,0.0,0.0,0.0,0.0,784.0,144.0,1299.0
Canon EOS 350D / Digital Rebel XT,Canon,2005,3456.0,2496.0,8.0,0.0,0.0,0.0,0.0,0.0,540.0,127.0,1299.0
Canon EOS 400D / Digital Rebel XTi,Canon,2006,3888.0,2816.0,10.0,0.0,0.0,0.0,0.0,0.0,556.0,127.0,1299.0
Canon EOS 40D,Canon,2007,3888.0,2816.0,10.0,0.0,0.0,0.0,0.0,0.0,822.0,146.0,1299.0
Canon EOS 5D,Canon,2005,4368.0,3168.0,12.0,0.0,0.0,0.0,0.0,0.0,895.0,152.0,2499.0
Canon EOS D30,Canon,2000,2160.0,1440.0,3.0,0.0,0.0,0.0,0.0,16.0,855.0,150.0,549.0
Canon EOS D60,Canon,2002,3072.0,2048.0,6.0,0.0,0.0,0.0,0.0,16.0,855.0,150.0,549.0
Canon PowerShot G1,Canon,2000,2048.0,1024.0,3.0,34.0,102.0,70.0,6.0,16.0,490.0,120.0,499.0
Canon PowerShot G2,Canon,2001,2272.0,1600.0,3.0,34.0,102.0,70.0,6.0,32.0,510.0,121.0,499.0
Canon PowerShot G3,Canon,2002,2272.0,1600.0,3.0,35.0,140.0,50.0,5.0,32.0,490.0,121.0,499.0
Canon PowerShot G5,Canon,2003,2592.0,1600.0,5.0,35.0,140.0,50.0,5.0,32.0,490.0,121.0,149.0
Canon PowerShot G6,Canon,2004,3072.0,2592.0,7.0,35.0,140.0,50.0,5.0,32.0,467.0,105.0,499.0
Canon PowerShot G7,Canon,2006,3648.0,2816.0,10.0,35.0,210.0,50.0,1.0,32.0,380.0,106.0,499.0
Canon PowerShot G9,Canon,2007,4000.0,3264.0,12.0,35.0,210.0,50.0,1.0,32.0,370.0,106.0,499.0
Canon PowerShot Pro1,Canon,2004,3264.0,2272.0,8.0,28.0,200.0,50.0,3.0,64.0,640.0,118.0,139.0
Canon PowerShot Pro70,Canon,1998,1536.0,768.0,1.0,28.0,70.0,32.0,12.0,8.0,800.0,148.0,199.0
Canon PowerShot Pro90 IS,Canon,2001,1856.0,1024.0,2.0,37.0,370.0,10.0,10.0,16.0,680.0,127.0,384.0
Canon PowerShot S10,Canon,1999,1600.0,1280.0,1.0,35.0,70.0,46.0,12.0,8.0,320.0,106.0,399.0
Canon PowerShot S100,Canon,2000,1600.0,640.0,1.0,35.0,70.0,57.0,10.0,8.0,250.0,87.0,199.0
Canon PowerShot S110,Canon,2001,1600.0,1024.0,1.0,35.0,70.0,57.0,10.0,8.0,250.0,87.0,199.0
Canon PowerShot S1 IS,Canon,2004,2048.0,1600.0,3.0,38.0,380.0,10.0,10.0,32.0,469.0,111.0,399.0
Canon PowerShot S20,Canon,2000,2048.0,1024.0,3.0,32.0,64.0,66.0,12.0,16.0,320.0,106.0,399.0
Canon PowerShot S200,Canon,2002,1600.0,1024.0,1.0,35.0,70.0,57.0,10.0,8.0,250.0,87.0,199.0
Canon PowerShot S230,Canon,2002,2048.0,1600.0,3.0,35.0,70.0,47.0,10.0,16.0,250.0,87.0,199.0
Canon PowerShot S2 IS,Canon,2005,2592.0,2048.0,5.0,36.0,432.0,50.0,10.0,16.0,505.0,113.0,399.0
Canon PowerShot S30,Canon,2001,2048.0,1600.0,3.0,35.0,105.0,80.0,10.0,16.0,323.0,112.0,399.0
Canon PowerShot S300,Canon,2001,1600.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,270.0,95.0,199.0
Canon PowerShot S330,Canon,2002,1600.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,274.0,95.0,199.0
Canon PowerShot S3 IS,Canon,2006,2816.0,2272.0,6.0,36.0,432.0,50.0,10.0,16.0,510.0,113.0,399.0
Canon PowerShot S40,Canon,2001,2272.0,1600.0,3.0,35.0,105.0,80.0,10.0,16.0,323.0,112.0,139.0
Canon PowerShot S400,Canon,2003,2272.0,1600.0,3.0,36.0,108.0,46.0,5.0,32.0,230.0,87.0,139.0
Canon PowerShot S410,Canon,2004,2272.0,1600.0,3.0,36.0,108.0,0.0,5.0,32.0,215.0,87.0,139.0
Canon PowerShot S45,Canon,2002,2272.0,1600.0,3.0,35.0,105.0,50.0,10.0,32.0,323.0,112.0,139.0
Canon PowerShot S50,Canon,2003,2592.0,1600.0,5.0,35.0,105.0,50.0,10.0,32.0,323.0,112.0,399.0
Canon PowerShot S500,Canon,2004,2592.0,2048.0,5.0,36.0,108.0,0.0,5.0,32.0,215.0,87.0,149.0
Canon PowerShot S5 IS,Canon,2007,3264.0,2272.0,8.0,36.0,432.0,50.0,10.0,32.0,550.0,117.0,399.0
Canon PowerShot S60,Canon,2004,2592.0,1600.0,5.0,28.0,100.0,50.0,4.0,32.0,300.0,114.0,399.0
Canon PowerShot S70,Canon,2004,3072.0,2592.0,7.0,28.0,100.0,50.0,4.0,32.0,300.0,114.0,399.0
Canon PowerShot S80,Canon,2005,3264.0,2592.0,8.0,28.0,100.0,50.0,4.0,32.0,290.0,104.0,399.0
Canon PowerShot SD10,Canon,2003,2272.0,1600.0,3.0,38.0,38.0,0.0,3.0,32.0,140.0,90.0,199.0
Canon PowerShot SD100,Canon,2003,2048.0,1600.0,3.0,35.0,70.0,47.0,10.0,16.0,185.0,85.0,199.0
Canon PowerShot SD1000,Canon,2007,3072.0,2592.0,7.0,35.0,105.0,0.0,5.0,32.0,175.0,86.0,199.0
Canon PowerShot SD110,Canon,2004,2048.0,1600.0,3.0,35.0,70.0,0.0,10.0,16.0,195.0,85.0,199.0
Canon PowerShot SD20,Canon,2004,2592.0,2048.0,5.0,39.0,39.0,0.0,3.0,32.0,140.0,90.0,199.0
Canon PowerShot SD200,Canon,2004,2048.0,1600.0,3.0,35.0,105.0,0.0,3.0,16.0,135.0,86.0,199.0
Canon PowerShot SD30,Canon,2005,2592.0,2048.0,5.0,38.0,90.0,0.0,10.0,16.0,120.0,96.0,199.0
Canon PowerShot SD300,Canon,2004,2272.0,1600.0,3.0,35.0,105.0,0.0,3.0,16.0,147.0,86.0,199.0
Canon PowerShot SD40,Canon,2006,3072.0,2592.0,7.0,38.0,90.0,0.0,10.0,16.0,120.0,96.0,199.0
Canon PowerShot SD400,Canon,2005,2592.0,2048.0,5.0,35.0,105.0,0.0,3.0,16.0,150.0,86.0,199.0
Canon PowerShot SD430 Wireless,Canon,2005,2592.0,2048.0,5.0,35.0,105.0,0.0,3.0,16.0,185.0,99.0,199.0
Canon PowerShot SD450,Canon,2005,2592.0,2048.0,5.0,35.0,105.0,0.0,3.0,16.0,155.0,86.0,199.0
Canon PowerShot SD500,Canon,2005,3072.0,2592.0,7.0,37.0,111.0,0.0,5.0,32.0,200.0,90.0,199.0
Canon PowerShot SD550,Canon,2005,3072.0,2592.0,7.0,37.0,111.0,0.0,5.0,32.0,185.0,90.0,199.0
Canon PowerShot SD600,Canon,2006,2816.0,2272.0,6.0,35.0,105.0,30.0,3.0,16.0,170.0,86.0,199.0
Canon PowerShot SD630,Canon,2006,2816.0,2272.0,6.0,35.0,105.0,30.0,3.0,16.0,175.0,90.0,199.0
Canon PowerShot SD700 IS,Canon,2006,2816.0,2272.0,6.0,35.0,140.0,45.0,2.0,16.0,195.0,90.0,384.0
Canon PowerShot SD750,Canon,2007,3072.0,2592.0,7.0,35.0,105.0,0.0,5.0,32.0,170.0,92.0,384.0
Canon PowerShot SD800 IS,Canon,2006,3072.0,2592.0,7.0,28.0,105.0,0.0,3.0,16.0,195.0,90.0,384.0
Canon PowerShot SD850 IS,Canon,2007,3264.0,2272.0,8.0,35.0,140.0,45.0,2.0,32.0,195.0,90.0,384.0
Canon PowerShot SD870 IS,Canon,2007,3264.0,2592.0,8.0,28.0,105.0,45.0,2.0,32.0,165.0,93.0,384.0
Canon PowerShot SD900,Canon,2006,3648.0,2816.0,10.0,37.0,111.0,0.0,5.0,32.0,205.0,91.0,199.0
Canon PowerShot SD950 IS,Canon,2007,4000.0,3264.0,12.0,36.0,133.0,50.0,5.0,32.0,205.0,96.0,384.0
Canon PowerShot SX100 IS,Canon,2007,3264.0,2592.0,8.0,36.0,360.0,50.0,1.0,32.0,316.0,109.0,299.0
Canon PowerShot TX1,Canon,2007,3072.0,2592.0,7.0,39.0,390.0,50.0,10.0,0.0,260.0,89.0,139.0
Casio Exilim EX-P505,Casio,2005,2560.0,2048.0,4.0,38.0,190.0,40.0,1.0,7.0,275.0,99.0,249.0
Casio Exilim EX-P600,Casio,2004,2816.0,2048.0,5.0,33.0,132.0,40.0,10.0,9.0,275.0,98.0,249.0
Casio Exilim EX-P700,Casio,2004,3072.0,2304.0,7.0,33.0,132.0,40.0,10.0,9.0,275.0,98.0,249.0
Casio Exilim EX-S100,Casio,2004,2048.0,1600.0,3.0,36.0,102.0,40.0,17.0,9.0,123.0,88.0,249.0
Casio Exilim EX-S20,Casio,2003,1600.0,1280.0,1.0,35.0,35.0,80.0,30.0,10.0,100.0,83.0,249.0
Casio Exilim EX-S3,Casio,2003,2048.0,1600.0,3.0,35.0,35.0,80.0,80.0,10.0,110.0,90.0,249.0
Casio Exilim EX-S500,Casio,2005,2560.0,2304.0,4.0,38.0,114.0,40.0,17.0,8.0,125.0,90.0,249.0
Casio Exilim EX-S600,Casio,2005,2816.0,2304.0,6.0,38.0,114.0,40.0,15.0,8.0,155.0,90.0,249.0
Casio Exilim EX-S600d,Casio,2006,2816.0,2304.0,6.0,38.0,114.0,40.0,15.0,8.0,155.0,90.0,249.0
Casio Exilim EX-S880,Casio,2007,3264.0,2816.0,8.0,38.0,114.0,50.0,15.0,10.0,138.0,94.5,249.0
Casio Exilim EX-V7,Casio,2007,3072.0,2560.0,7.0,38.0,266.0,30.0,10.0,11.0,190.0,96.0,299.0
Casio Exilim EX-V8,Casio,2007,3264.0,2816.0,8.0,38.0,266.0,40.0,10.0,11.0,199.0,96.0,299.0
Casio Exilim EX-Z10,Casio,2005,2560.0,2304.0,5.0,35.0,114.0,40.0,6.0,8.0,154.0,90.0,329.0
Casio Exilim EX-Z1000,Casio,2006,3648.0,2560.0,10.0,38.0,114.0,40.0,6.0,8.0,185.0,92.0,329.0
Casio Exilim EX-Z1050,Casio,2007,3648.0,2560.0,10.0,38.0,114.0,40.0,10.0,15.0,165.0,91.0,329.0
Casio Exilim EX-Z1080,Casio,2007,3648.0,2560.0,10.0,38.0,114.0,40.0,10.0,11.0,165.0,91.0,329.0
Casio Exilim EX-Z110,Casio,2005,2816.0,2304.0,6.0,35.0,114.0,40.0,6.0,8.0,151.0,90.0,329.0
Casio Exilim EX-Z120,Casio,2005,3072.0,2560.0,7.0,38.0,114.0,50.0,10.0,8.0,154.0,90.0,329.0
Casio Exilim EX-Z1200 SR,Casio,2007,4000.0,3264.0,12.0,37.0,111.0,40.0,6.0,11.0,162.0,93.0,329.0
Casio Exilim EX-Z3,Casio,2003,2048.0,1600.0,3.0,35.0,105.0,40.0,6.0,16.0,170.0,87.0,329.0
Casio Exilim EX-Z30,Casio,2004,2048.0,1600.0,3.0,35.0,105.0,40.0,6.0,9.0,150.0,87.0,329.0
Casio Exilim EX-Z4,Casio,2003,2304.0,1600.0,4.0,35.0,105.0,40.0,6.0,16.0,170.0,87.0,329.0
Casio Exilim EX-Z40,Casio,2004,2304.0,1600.0,4.0,35.0,105.0,40.0,6.0,9.0,150.0,87.0,329.0
Casio Exilim EX-Z5,Casio,2006,2560.0,2304.0,4.0,38.0,114.0,40.0,10.0,8.0,160.0,95.0,329.0
Casio Exilim EX-Z50,Casio,2004,2560.0,2048.0,5.0,35.0,105.0,50.0,6.0,9.0,171.0,87.0,329.0
Casio Exilim EX-Z500,Casio,2005,2560.0,2304.0,5.0,38.0,114.0,40.0,17.0,8.0,127.0,89.0,329.0
Casio Exilim EX-Z55,Casio,2004,2560.0,2048.0,5.0,35.0,105.0,50.0,6.0,9.0,180.0,87.0,329.0
Casio Exilim EX-Z57,Casio,2005,2560.0,2048.0,4.0,35.0,105.0,40.0,6.0,9.0,175.0,89.0,199.0
Casio Exilim EX-Z60,Casio,2006,2816.0,2304.0,6.0,38.0,114.0,40.0,10.0,8.0,148.0,95.0,329.0
Casio Exilim EX-Z70,Casio,2006,3072.0,2560.0,7.0,38.0,114.0,40.0,10.0,8.0,140.0,95.0,199.0
Casio Exilim EX-Z700,Casio,2006,3072.0,2560.0,7.0,38.0,114.0,40.0,15.0,8.0,154.0,89.0,329.0
Casio Exilim EX-Z75,Casio,2007,3072.0,2560.0,7.0,38.0,114.0,40.0,10.0,8.0,156.0,95.0,199.0
Casio Exilim EX-Z750,Casio,2005,3072.0,2304.0,7.0,38.0,114.0,40.0,10.0,9.0,165.0,89.0,329.0
Casio Exilim EX-Z77,Casio,2007,3072.0,2560.0,7.0,38.0,114.0,40.0,10.0,11.0,128.0,95.0,199.0
Casio Exilim EX-S770,Casio,2006,3072.0,2560.0,7.0,38.0,114.0,40.0,15.0,6.0,176.0,95.0,249.0
Casio Exilim EX-Z850,Casio,2006,3264.0,2816.0,8.0,38.0,114.0,40.0,10.0,8.0,185.0,89.0,249.0
Casio GV-10,Casio,2001,1280.0,640.0,1.0,35.0,35.0,60.0,10.0,8.0,320.0,101.0,249.0
Casio GV-20,Casio,2002,1600.0,800.0,1.0,35.0,35.0,60.0,10.0,8.0,320.0,101.0,249.0
Casio QV-2000UX,Casio,1999,1600.0,800.0,1.0,36.0,108.0,50.0,20.0,8.0,320.0,130.0,249.0
Casio QV-2100,Casio,2001,1600.0,800.0,1.0,41.0,41.0,80.0,20.0,16.0,260.0,108.0,249.0
Casio QV-2300UX,Casio,2000,1600.0,800.0,1.0,41.0,123.0,10.0,1.0,8.0,245.0,67.0,249.0
Casio QV-2400UX,Casio,2001,1600.0,800.0,1.0,41.0,123.0,10.0,1.0,8.0,245.0,67.0,249.0
Casio QV-2800UX,Casio,2000,1600.0,800.0,1.0,40.0,320.0,40.0,1.0,8.0,295.0,81.0,249.0
Casio QV-2900UX,Casio,2001,1600.0,800.0,1.0,40.0,320.0,40.0,1.0,8.0,295.0,81.0,249.0
Casio QV-3EX,Casio,2000,2048.0,1024.0,3.0,41.0,41.0,50.0,10.0,16.0,245.0,115.0,249.0
Casio QV-300,Casio,1996,640.0,320.0,0.0,47.0,106.0,60.0,9.0,4.0,290.0,162.0,249.0
