Model,Brand,Release_date,Max_resolution,Low_resolution,Effective_pixels,Zoom_wide,Zoom_tele,Normal_focus_range,Macro_focus_range,Storage_included,Weight_incbatteries,Dimensions,Price
Nikon Coolpix 995,Nikon,2001,2048.0,1600.0,3.0,38.0,152.0,30.0,2.0,16.0,420.0,138.0,159.0
Nikon Coolpix L1,Nikon,2005,2816.0,2048.0,6.0,38.0,190.0,50.0,4.0,10.0,195.0,90.0,99.0
Nikon Coolpix L10,Nikon,2007,2560.0,2048.0,4.0,37.0,112.0,40.0,15.0,7.0,165.0,90.0,99.0
Nikon Coolpix L11,Nikon,2007,2816.0,2048.0,6.0,37.0,112.0,40.0,15.0,7.0,175.0,90.0,99.0
Nikon Coolpix L12,Nikon,2007,3072.0,2592.0,7.0,35.0,105.0,50.0,15.0,21.0,175.0,91.0,99.0
Nikon Coolpix L14,Nikon,2007,3072.0,2048.0,7.0,38.0,114.0,60.0,10.0,23.0,225.0,91.0,129.0
Nikon Coolpix L15,Nikon,2007,3264.0,2592.0,8.0,35.0,105.0,50.0,15.0,32.0,225.0,91.0,159.0
Nikon Coolpix L2,Nikon,2006,2816.0,2048.0,6.0,38.0,116.0,30.0,10.0,23.0,170.0,91.0,99.0
Nikon Coolpix L3,Nikon,2006,2592.0,2048.0,5.0,38.0,116.0,30.0,10.0,23.0,170.0,91.0,99.0
Nikon Coolpix L4,Nikon,2006,2272.0,1600.0,3.0,38.0,114.0,30.0,4.0,10.0,165.0,87.0,99.0
Nikon Coolpix L5,Nikon,2006,3072.0,2592.0,7.0,38.0,190.0,50.0,4.0,8.0,210.0,97.0,99.0
Nikon Coolpix L6,Nikon,2006,2816.0,2048.0,6.0,38.0,116.0,30.0,10.0,23.0,175.0,91.0,99.0
Nikon Coolpix P1,Nikon,2005,3264.0,2592.0,8.0,35.0,126.0,50.0,4.0,32.0,185.0,91.0,99.0
Nikon Coolpix P2,Nikon,2005,2592.0,2048.0,5.0,35.0,126.0,50.0,4.0,16.0,185.0,91.0,229.0
Nikon Coolpix P3,Nikon,2006,3264.0,2592.0,8.0,36.0,126.0,30.0,4.0,23.0,200.0,92.0,229.0
Nikon Coolpix P4,Nikon,2006,3264.0,2592.0,8.0,36.0,126.0,30.0,4.0,23.0,200.0,92.0,229.0
Nikon Coolpix P50,Nikon,2007,3264.0,3200.0,8.0,28.0,102.0,50.0,5.0,52.0,210.0,95.0,229.0
Nikon Coolpix P5000,Nikon,2007,3648.0,2592.0,10.0,36.0,126.0,30.0,4.0,26.0,240.0,98.0,399.0
Nikon Coolpix P5100,Nikon,2007,4000.0,3264.0,12.0,35.0,123.0,30.0,4.0,52.0,250.0,98.0,399.0
Nikon Coolpix S1,Nikon,2005,2592.0,2048.0,5.0,35.0,105.0,30.0,4.0,12.0,170.0,90.0,99.0
Nikon Coolpix S10,Nikon,2006,2816.0,2048.0,6.0,38.0,380.0,30.0,4.0,16.0,280.0,113.0,99.0
Nikon Coolpix S2,Nikon,2005,2592.0,2048.0,5.0,35.0,105.0,30.0,4.0,12.0,160.0,92.0,199.0
Nikon Coolpix S200,Nikon,2007,3072.0,2592.0,7.0,38.0,114.0,60.0,10.0,20.0,165.0,92.0,229.0
Nikon Coolpix S3,Nikon,2005,2816.0,2048.0,6.0,35.0,105.0,30.0,4.0,12.0,132.0,90.0,199.0
Nikon Coolpix S4,Nikon,2005,2816.0,2048.0,6.0,38.0,380.0,30.0,6.0,13.0,225.0,112.0,199.0
Nikon Coolpix S5,Nikon,2006,2816.0,2048.0,6.0,35.0,105.0,30.0,4.0,21.0,165.0,93.0,229.0
Nikon Coolpix S50,Nikon,2007,3072.0,2592.0,7.0,38.0,114.0,30.0,4.0,13.0,165.0,88.0,229.0
Nikon Coolpix S500,Nikon,2007,3072.0,2592.0,7.0,35.0,105.0,50.0,15.0,26.0,165.0,88.0,229.0
Nikon Coolpix S50c,Nikon,2007,3072.0,2592.0,7.0,38.0,114.0,30.0,4.0,13.0,165.0,88.0,329.0
Nikon Coolpix S51,Nikon,2007,3264.0,2592.0,7.0,38.0,114.0,30.0,4.0,13.0,175.0,93.0,279.0
Nikon Coolpix S510,Nikon,2007,3264.0,3200.0,8.0,35.0,105.0,50.0,15.0,52.0,125.0,88.0,399.0
Nikon Coolpix S51c,Nikon,2007,3264.0,2592.0,7.0,38.0,114.0,30.0,4.0,13.0,175.0,98.0,329.0
Nikon Coolpix S6,Nikon,2006,2816.0,2048.0,6.0,35.0,105.0,30.0,4.0,20.0,170.0,101.0,199.0
Nikon Coolpix S7c,Nikon,2006,3072.0,2592.0,7.0,35.0,105.0,30.0,4.0,14.0,170.0,101.0,199.0
Nikon Coolpix S9,Nikon,2006,2816.0,2048.0,6.0,38.0,114.0,25.0,4.0,24.0,165.0,91.0,199.0
Nikon Coolpix SQ,Nikon,2003,2016.0,1600.0,3.0,37.0,111.0,30.0,4.0,16.0,216.0,83.0,199.0
Nikon D1,Nikon,1999,2000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1200.0,157.0,1599.0
Nikon D100,Nikon,2002,3008.0,2240.0,6.0,0.0,0.0,0.0,0.0,0.0,780.0,144.0,1599.0
Nikon D1H,Nikon,2001,2000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1200.0,157.0,1599.0
Nikon D1X,Nikon,2001,3008.0,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,1200.0,157.0,4699.0
Nikon D200,Nikon,2005,3872.0,2896.0,10.0,0.0,0.0,0.0,0.0,0.0,920.0,147.0,1599.0
Nikon D2H,Nikon,2003,2464.0,1840.0,4.0,0.0,0.0,0.0,0.0,0.0,1200.0,158.0,1599.0
Nikon D2Hs,Nikon,2005,2464.0,1840.0,4.0,0.0,0.0,0.0,0.0,0.0,1200.0,158.0,4699.0
Nikon D2X,Nikon,2004,4288.0,3216.0,12.0,0.0,0.0,0.0,0.0,0.0,1200.0,158.0,4699.0
Nikon D2Xs,Nikon,2006,4288.0,3216.0,12.0,0.0,0.0,0.0,0.0,0.0,1200.0,158.0,4699.0
Nikon D3,Nikon,2007,4256.0,3184.0,12.0,0.0,0.0,0.0,0.0,0.0,1300.0,160.0,4999.0
Nikon D300,Nikon,2007,4288.0,3216.0,12.0,0.0,0.0,0.0,0.0,0.0,925.0,147.0,1799.0
Nikon D40,Nikon,2006,3008.0,2256.0,6.0,0.0,0.0,0.0,0.0,0.0,522.0,124.0,549.0
Nikon D40X,Nikon,2007,3872.0,2896.0,10.0,0.0,0.0,0.0,0.0,0.0,522.0,124.0,549.0
Nikon D50,Nikon,2005,3008.0,2256.0,6.0,0.0,0.0,0.0,0.0,0.0,620.0,133.0,1599.0
Nikon D70,Nikon,2004,3008.0,2240.0,6.0,0.0,0.0,0.0,0.0,0.0,679.0,140.0,1599.0
Nikon D70s,Nikon,2005,3008.0,2240.0,6.0,0.0,0.0,0.0,0.0,0.0,679.0,140.0,1599.0
Nikon D80,Nikon,2006,3872.0,2896.0,10.0,0.0,0.0,0.0,0.0,0.0,668.0,132.0,1199.0
Olympus C-1,Olympus,2001,1280.0,640.0,1.0,35.0,35.0,50.0,10.0,8.0,190.0,110.0,1699.0
Olympus D-370,Olympus,2001,1280.0,1024.0,1.0,35.0,35.0,60.0,25.0,1.0,190.0,123.0,1699.0
Olympus D-380,Olympus,2002,1600.0,1024.0,1.0,35.0,35.0,60.0,25.0,8.0,250.0,123.0,1699.0
Olympus D-150Z,Olympus,2001,1280.0,640.0,1.0,38.0,114.0,50.0,20.0,8.0,190.0,110.0,1699.0
Olympus C-2,Olympus,2001,1600.0,1024.0,1.0,36.0,36.0,50.0,10.0,16.0,220.0,110.0,1699.0
Olympus C-2000 Zoom,Olympus,1999,1600.0,1024.0,1.0,35.0,105.0,80.0,20.0,8.0,380.0,108.0,129.0
Olympus D-510 Zoom,Olympus,2001,1600.0,1024.0,1.0,35.0,105.0,80.0,20.0,8.0,250.0,118.0,129.0
Olympus C-2020 Zoom,Olympus,1999,1600.0,1024.0,1.0,35.0,105.0,80.0,20.0,8.0,380.0,108.0,129.0
Olympus C-2040 Zoom,Olympus,2000,1600.0,1024.0,1.0,40.0,120.0,80.0,20.0,8.0,380.0,108.0,129.0
Olympus C-21,Olympus,1999,1600.0,1024.0,1.0,38.0,38.0,60.0,15.0,8.0,190.0,107.0,1699.0
Olympus C-2100 UZ,Olympus,2000,1600.0,1280.0,1.0,38.0,380.0,60.0,10.0,8.0,540.0,113.0,129.0
Olympus C-2500 L,Olympus,1999,1712.0,1280.0,2.0,36.0,110.0,80.0,2.0,32.0,530.0,109.0,129.0
Olympus C-3000 Zoom,Olympus,2000,2048.0,1600.0,3.0,32.0,96.0,80.0,20.0,8.0,380.0,109.0,1699.0
Olympus C-300 Zoom,Olympus,2002,1984.0,1600.0,3.0,36.0,100.0,80.0,20.0,16.0,300.0,118.0,1699.0
Olympus C-3020 Zoom,Olympus,2001,2048.0,1600.0,3.0,32.0,96.0,80.0,20.0,8.0,380.0,109.0,1699.0
Olympus C-3030 Zoom,Olympus,2000,2048.0,1600.0,3.0,32.0,96.0,80.0,20.0,16.0,380.0,109.0,1699.0
Olympus C-3040 Zoom,Olympus,2000,2048.0,1600.0,3.0,35.0,105.0,80.0,20.0,16.0,420.0,109.0,1699.0
Olympus C-4000 Zoom,Olympus,2002,2288.0,2048.0,3.0,32.0,96.0,80.0,2.0,16.0,400.0,110.0,129.0
Olympus C-4040 Zoom,Olympus,2001,2272.0,2048.0,3.0,35.0,105.0,80.0,20.0,16.0,420.0,110.0,129.0
Olympus D-40 Zoom,Olympus,2001,2272.0,2048.0,3.0,35.0,98.0,80.0,10.0,16.0,270.0,87.0,1699.0
Olympus C-5000 Zoom,Olympus,2003,2560.0,2272.0,4.0,38.0,114.0,50.0,4.0,32.0,280.0,105.0,449.0
Olympus C-5050 Zoom,Olympus,2002,2560.0,2288.0,4.0,35.0,105.0,80.0,20.0,32.0,480.0,114.0,449.0
Olympus C-5060 Zoom,Olympus,2003,2592.0,2288.0,5.0,27.0,110.0,80.0,3.0,32.0,480.0,116.0,449.0
Olympus C-50 Zoom,Olympus,2002,2560.0,2048.0,4.0,38.0,114.0,50.0,20.0,32.0,230.0,100.0,449.0
Olympus C-5500 Sport Zoom,Olympus,2005,2592.0,2288.0,5.0,38.0,190.0,60.0,8.0,16.0,340.0,110.0,129.0
Olympus C-60 Zoom,Olympus,2004,2816.0,2560.0,5.0,38.0,114.0,40.0,4.0,32.0,230.0,99.0,449.0
Olympus C-7000 Zoom,Olympus,2004,3072.0,2592.0,7.0,38.0,190.0,60.0,2.0,32.0,280.0,102.0,129.0
Olympus C-700 UZ,Olympus,2001,1600.0,1280.0,1.0,38.0,380.0,60.0,10.0,8.0,340.0,108.0,449.0
Olympus C-7070 Wide Zoom,Olympus,2005,3072.0,2592.0,7.0,27.0,110.0,80.0,3.0,32.0,480.0,116.0,129.0
Olympus C-720 UZ,Olympus,2002,1984.0,1600.0,3.0,40.0,320.0,60.0,10.0,16.0,340.0,108.0,449.0
Olympus C-730 UZ,Olympus,2002,2048.0,1600.0,3.0,38.0,380.0,60.0,10.0,16.0,400.0,108.0,449.0
Olympus C-740 UZ,Olympus,2003,2048.0,1600.0,3.0,38.0,380.0,60.0,3.0,16.0,340.0,108.0,449.0
Olympus C-750 UZ,Olympus,2003,2288.0,2048.0,3.0,38.0,380.0,60.0,3.0,16.0,340.0,108.0,449.0
Olympus C-765 UZ,Olympus,2004,2288.0,2048.0,3.0,38.0,380.0,60.0,7.0,16.0,310.0,105.0,449.0
Olympus C-770 UZ,Olympus,2004,2288.0,2048.0,3.0,38.0,380.0,60.0,7.0,32.0,310.0,105.0,449.0
Olympus C-8080 Wide Zoom,Olympus,2004,3264.0,2592.0,8.0,28.0,140.0,80.0,5.0,32.0,724.0,124.0,179.0
Olympus D-200L,Olympus,1996,640.0,320.0,0.0,36.0,36.0,75.0,20.0,2.0,320.0,145.0,129.0
Olympus D-300L,Olympus,1996,1024.0,512.0,0.0,36.0,36.0,50.0,20.0,6.0,320.0,145.0,1699.0
Olympus D-340L,Olympus,1998,1280.0,640.0,1.0,36.0,36.0,70.0,10.0,4.0,320.0,128.0,1699.0
Olympus D-340R,Olympus,1999,1280.0,640.0,1.0,36.0,36.0,70.0,10.0,8.0,320.0,128.0,1699.0
Olympus D-360L,Olympus,2000,1280.0,640.0,1.0,36.0,36.0,50.0,10.0,8.0,280.0,128.0,1699.0
Olympus D-390,Olympus,2003,1600.0,1024.0,1.0,35.0,35.0,50.0,20.0,16.0,230.0,108.0,1699.0
Olympus D-395,Olympus,2004,2048.0,1024.0,3.0,33.0,33.0,50.0,20.0,16.0,210.0,110.0,1699.0
Olympus D-400 Zoom,Olympus,1998,1280.0,640.0,1.0,35.0,105.0,80.0,20.0,8.0,320.0,127.0,129.0
Olympus D-425,Olympus,2005,2288.0,1600.0,3.0,37.0,37.0,50.0,20.0,14.0,170.0,101.0,1699.0
Olympus D-435,Olympus,2005,2592.0,1600.0,5.0,36.0,35.0,50.0,20.0,0.0,140.0,101.0,1699.0
Olympus D-450 Zoom,Olympus,1999,1280.0,640.0,1.0,35.0,105.0,80.0,20.0,8.0,320.0,127.0,129.0
Olympus D-460 Zoom,Olympus,2000,1280.0,640.0,1.0,35.0,105.0,80.0,20.0,8.0,320.0,127.0,449.0
Olympus D-490 Zoom,Olympus,2000,1600.0,640.0,1.0,35.0,105.0,80.0,20.0,8.0,320.0,127.0,129.0
Olympus D-500L,Olympus,1997,1024.0,640.0,0.0,50.0,150.0,60.0,30.0,2.0,490.0,115.0,449.0
Olympus D-520 Zoom,Olympus,2002,1600.0,1024.0,1.0,35.0,105.0,50.0,20.0,8.0,220.0,112.0,449.0
Olympus D-535 Zoom,Olympus,2004,2048.0,1600.0,3.0,38.0,114.0,50.0,2.0,12.0,190.0,88.0,449.0
Olympus D-540 Zoom,Olympus,2004,2048.0,1600.0,3.0,38.0,114.0,50.0,2.0,16.0,200.0,100.0,449.0
Olympus D-545 Zoom,Olympus,2005,2288.0,1600.0,3.0,38.0,114.0,50.0,2.0,14.0,190.0,106.0,449.0
Olympus D-560 Zoom,Olympus,2003,2048.0,1024.0,3.0,35.0,105.0,50.0,20.0,16.0,220.0,108.0,449.0
Olympus D-580 Zoom,Olympus,2004,2288.0,1600.0,3.0,35.0,105.0,50.0,7.0,16.0,210.0,108.0,179.0
Olympus D-595 Zoom,Olympus,2005,2560.0,1600.0,4.0,38.0,114.0,50.0,2.0,14.0,190.0,105.0,449.0
Olympus D-600L,Olympus,1997,1280.0,640.0,1.0,36.0,110.0,60.0,30.0,4.0,0.0,115.0,1699.0
Olympus D-620L,Olympus,1998,1280.0,640.0,1.0,36.0,110.0,60.0,30.0,8.0,520.0,115.0,1699.0
Olympus D-630 Zoom,Olympus,2005,2560.0,1600.0,4.0,35.0,105.0,60.0,10.0,14.0,175.0,94.0,129.0
Olympus E-1,Olympus,2003,2560.0,1600.0,4.0,0.0,0.0,0.0,0.0,0.0,735.0,141.0,1699.0
Olympus E-10,Olympus,2000,2240.0,1600.0,3.0,35.0,140.0,60.0,20.0,0.0,1190.0,129.0,1699.0
Olympus E-100 RS,Olympus,2000,1368.0,1280.0,1.0,38.0,380.0,60.0,10.0,16.0,603.0,108.0,129.0
Olympus E-20,Olympus,2001,2560.0,1792.0,4.0,35.0,140.0,60.0,20.0,16.0,1190.0,129.0,1699.0
Olympus E-3,Olympus,2007,3648.0,3200.0,10.0,0.0,0.0,0.0,0.0,0.0,800.0,142.0,1699.0
Olympus E-300,Olympus,2004,3264.0,3200.0,8.0,0.0,0.0,0.0,0.0,0.0,624.0,147.0,1699.0
Olympus E-330,Olympus,2006,3136.0,2560.0,7.0,0.0,0.0,0.0,0.0,0.0,616.0,140.0,1699.0
Olympus E-400,Olympus,2006,3648.0,3200.0,10.0,0.0,0.0,0.0,0.0,0.0,435.0,130.0,1699.0
Olympus E-410,Olympus,2007,3648.0,3200.0,10.0,0.0,0.0,0.0,0.0,0.0,435.0,130.0,1699.0
Olympus E-500,Olympus,2005,3264.0,3200.0,8.0,0.0,0.0,0.0,0.0,0.0,479.0,130.0,1699.0
Olympus E-510,Olympus,2007,3648.0,3200.0,10.0,0.0,0.0,0.0,0.0,0.0,490.0,136.0,1699.0
Olympus FE-100,Olympus,2005,2272.0,1600.0,4.0,35.0,106.0,50.0,5.0,28.0,160.0,88.0,129.0
Olympus FE-110,Olympus,2005,2560.0,1600.0,5.0,35.0,106.0,50.0,5.0,28.0,160.0,88.0,129.0
Olympus FE-115,Olympus,2006,2560.0,1600.0,5.0,38.0,106.0,50.0,2.0,28.0,160.0,88.0,129.0
Olympus FE-120,Olympus,2005,2816.0,1600.0,6.0,38.0,114.0,50.0,5.0,14.0,160.0,106.0,129.0
Olympus FE-130,Olympus,2006,2592.0,2048.0,5.0,38.0,114.0,10.0,5.0,22.0,160.0,96.0,129.0
Olympus FE-140,Olympus,2006,2816.0,2048.0,6.0,38.0,114.0,10.0,5.0,22.0,160.0,96.0,129.0
Olympus FE-150,Olympus,2006,2560.0,2048.0,5.0,32.0,96.0,50.0,6.0,9.0,175.0,90.0,129.0
Olympus FE-170,Olympus,2006,2816.0,2048.0,6.0,38.0,114.0,0.0,0.0,10.0,175.0,90.0,129.0
Olympus FE-180,Olympus,2006,2816.0,2048.0,6.0,38.0,114.0,0.0,0.0,10.0,170.0,88.0,179.0
Olympus FE-190,Olympus,2006,2816.0,2048.0,6.0,38.0,114.0,0.0,0.0,22.0,150.0,91.0,129.0
Olympus FE-200,Olympus,2006,2816.0,2048.0,6.0,28.0,140.0,0.0,0.0,24.0,195.0,98.0,129.0
Olympus FE-210,Olympus,2007,3072.0,2048.0,7.0,38.0,114.0,60.0,10.0,9.0,175.0,90.0,129.0
Olympus FE-230,Olympus,2007,3072.0,2048.0,7.0,38.0,114.0,60.0,10.0,20.0,145.0,91.0,129.0
Olympus FE-240,Olympus,2007,3072.0,2048.0,7.0,38.0,190.0,70.0,10.0,20.0,145.0,91.0,129.0
Olympus FE-250,Olympus,2007,3264.0,2048.0,8.0,38.0,105.0,60.0,10.0,20.0,155.0,94.0,129.0
Olympus FE-270,Olympus,2007,3072.0,2048.0,7.0,38.0,114.0,60.0,5.0,6.0,122.0,90.0,129.0
Olympus FE-280,Olympus,2007,3264.0,2048.0,8.0,36.0,108.0,60.0,5.0,48.0,108.0,92.0,179.0
Olympus FE-290,Olympus,2007,3072.0,2048.0,7.0,28.0,112.0,40.0,5.0,6.0,142.0,98.0,129.0
Olympus FE-300,Olympus,2007,4000.0,2048.0,12.0,35.0,105.0,60.0,10.0,48.0,115.0,94.0,129.0
Olympus IR-300,Olympus,2005,2560.0,2048.0,4.0,38.0,114.0,50.0,5.0,15.0,160.0,99.0,129.0
Olympus Stylus 300 ,Olympus,2003,2048.0,1600.0,3.0,35.0,105.0,50.0,20.0,16.0,220.0,99.0,229.0
Olympus Stylus 400 ,Olympus,2003,2272.0,2048.0,3.0,35.0,105.0,50.0,20.0,16.0,220.0,99.0,229.0
Olympus SP-310,Olympus,2005,3072.0,2592.0,7.0,38.0,114.0,20.0,5.0,32.0,230.0,100.0,449.0
Olympus SP-320,Olympus,2006,3072.0,2592.0,7.0,38.0,114.0,20.0,2.0,25.0,230.0,100.0,449.0
Olympus SP-350,Olympus,2005,3264.0,2592.0,8.0,38.0,114.0,20.0,5.0,32.0,245.0,100.0,449.0
Olympus SP-500 UZ,Olympus,2005,2816.0,2592.0,6.0,38.0,380.0,60.0,3.0,10.0,385.0,106.0,449.0
Olympus SP-510 UZ,Olympus,2006,3072.0,2560.0,7.0,38.0,380.0,60.0,3.0,0.0,410.0,106.0,449.0
Olympus SP-550 UZ,Olympus,2007,3072.0,2560.0,7.0,28.0,504.0,10.0,1.0,20.0,460.0,116.0,449.0
Olympus SP-560 UZ,Olympus,2007,3264.0,2560.0,8.0,27.0,486.0,10.0,1.0,47.0,365.0,116.0,449.0
Olympus SP-700,Olympus,2005,2816.0,2288.0,6.0,38.0,114.0,30.0,10.0,11.0,180.0,98.0,449.0
Olympus Stylus 1000,Olympus,2006,3648.0,2560.0,10.0,35.0,105.0,60.0,10.0,0.0,195.0,97.0,229.0
Olympus Stylus 1200,Olympus,2007,4000.0,3264.0,12.0,35.0,105.0,60.0,10.0,47.0,125.0,98.0,249.0
Olympus Stylus 410 ,Olympus,2004,2272.0,2048.0,3.0,35.0,105.0,50.0,20.0,16.0,200.0,99.0,229.0
Olympus Stylus 500 ,Olympus,2004,2560.0,2048.0,4.0,35.0,105.0,50.0,7.0,32.0,200.0,99.0,229.0
Olympus Stylus 600 ,Olympus,2005,2816.0,2560.0,6.0,35.0,105.0,50.0,7.0,8.0,195.0,97.0,229.0
Olympus Stylus 700 ,Olympus,2006,3072.0,2560.0,7.0,37.0,111.0,60.0,8.0,19.0,140.0,95.0,229.0
Olympus Stylus 720 SW ,Olympus,2006,3072.0,2560.0,7.0,37.0,111.0,60.0,8.0,19.0,190.0,95.0,299.0
Olympus Stylus 725 SW,Olympus,2006,3072.0,2560.0,7.0,38.0,114.0,60.0,2.0,19.0,190.0,91.0,299.0
Olympus Stylus 730,Olympus,2006,3072.0,2560.0,7.0,38.0,114.0,50.0,7.0,22.0,190.0,96.0,229.0
Olympus Stylus 740,Olympus,2006,3072.0,2560.0,7.0,36.0,180.0,70.0,3.0,17.0,160.0,96.0,229.0
Olympus Stylus 750,Olympus,2006,3072.0,2560.0,7.0,36.0,180.0,70.0,3.0,17.0,170.0,96.0,229.0
Olympus Stylus 760,Olympus,2007,3072.0,2560.0,7.0,37.0,111.0,60.0,8.0,18.0,160.0,99.0,229.0
Olympus Stylus 770 SW,Olympus,2007,3072.0,2560.0,7.0,38.0,114.0,50.0,7.0,18.0,195.0,92.0,299.0
Olympus Stylus 780,Olympus,2007,3072.0,2560.0,7.0,36.0,180.0,70.0,3.0,18.0,195.0,100.0,299.0
Olympus Stylus 790 SW,Olympus,2007,3072.0,2560.0,7.0,38.0,114.0,50.0,7.0,14.0,155.0,92.0,299.0
Olympus Stylus 800 ,Olympus,2005,3264.0,2560.0,8.0,38.0,114.0,50.0,3.0,19.0,200.0,103.0,249.0
Olympus Stylus 810 ,Olympus,2006,3264.0,2560.0,8.0,35.0,105.0,60.0,10.0,28.0,185.0,97.0,249.0
Olympus Stylus 820,Olympus,2007,3264.0,2560.0,8.0,36.0,180.0,70.0,3.0,47.0,125.0,96.0,249.0
Olympus Stylus 830,Olympus,2007,3248.0,2560.0,8.0,36.0,180.0,70.0,3.0,14.0,125.0,100.0,249.0
Olympus Stylus Verve ,Olympus,2004,2272.0,2048.0,3.0,35.0,70.0,50.0,8.0,16.0,165.0,95.0,229.0
